"Groupe d'aliment","Sous-groupe d'aliment","Nom du Produit en Français","Changement climatique","Appauvrissement de la couche d'ozone","Rayonnements ionisants","Formation photochimique d'ozone","Particules fines","Effets toxicologiques sur la santé humaine : substances non-cancérogènes","Effets toxicologiques sur la santé humaine : substances cancérogènes","Acidification terrestre et eaux douces","Eutrophisation eaux douces","Eutrophisation marine","Eutrophisation terrestre","Écotoxicité pour écosystèmes aquatiques d'eau douce","Utilisation du sol","Épuisement des ressources eau","Épuisement des ressources énergétiques","Épuisement des ressources minéraux"
"fruits, légumes, légumineuses et oléagineux","légumes","Artichaut, fond, appertisé, égoutté",2.17,7.9e-8,0.342,0.00696,1.32e-7,6.22e-8,6.64e-9,0.0126,0.000412,0.0104,0.0478,21.1,67.8,0.354,27.3,0.00000767
"fruits, légumes, légumineuses et oléagineux","légumes","Artichaut, fond, surgelé, cru",1.41,4.68e-8,0.625,0.00401,8.64e-8,5.78e-8,1.03e-9,0.0104,0.000206,0.00957,0.0411,16.5,60.3,0.204,23.9,0.00000819
"fruits, légumes, légumineuses et oléagineux","légumes","Asperge, appertisée, égouttée",2.13,1.3e-7,0.349,0.00921,2.16e-7,1.26e-7,5.93e-9,0.0254,0.000493,0.0157,0.101,48.5,220,4.14,29.2,0.0000112
"fruits, légumes, légumineuses et oléagineux","légumes","Asperge, blanche ou violette, pelée, crue",1.64,1.16e-7,0.193,0.00747,1.94e-7,1.34e-7,1.28e-9,0.0253,0.000319,0.0163,0.104,46.8,235,4.36,18.6,0.0000105
"fruits, légumes, légumineuses et oléagineux","légumes","Asperge, bouillie/cuite à l'eau",2.86,1.57e-7,0.4,0.0111,2.61e-7,1.61e-7,1.78e-9,0.032,0.000536,0.02,0.127,57.7,283,5.43,39.7,0.0000159
"fruits, légumes, légumineuses et oléagineux","légumes","Asperge, pelée, crue",1.51,1.16e-7,0.193,0.00733,1.93e-7,1.32e-7,1.25e-9,0.0252,0.000296,0.0162,0.103,46.2,235,4.36,18.5,0.0000105
"fruits, légumes, légumineuses et oléagineux","légumes","Asperge, verte, crue",1.64,1.16e-7,0.193,0.00747,1.94e-7,1.34e-7,1.28e-9,0.0253,0.000319,0.0163,0.104,46.8,235,4.36,18.6,0.0000105
"fruits, légumes, légumineuses et oléagineux","légumes","Aubergine, crue",0.472,1.99e-8,0.0812,0.00186,3.22e-8,1.54e-8,4.68e-10,0.00285,0.000071,0.00164,0.0106,4.51,15.1,0.551,7.41,0.00000332
"fruits, légumes, légumineuses et oléagineux","légumes","Aubergine, cuite",1.16,3.64e-8,0.231,0.00361,5.71e-8,2.05e-8,6.99e-10,0.00473,0.000184,0.00243,0.0156,7,22.2,0.822,20.4,0.00000614
"fruits, légumes, légumineuses et oléagineux","légumes","Avocat, pulpe, cru",1.55,3.89e-8,0.0867,0.00691,7.38e-8,6.9e-8,8.39e-10,0.0101,0.000282,0.00938,0.0319,19.3,84.6,23.7,14.1,0.00000955
"fruits, légumes, légumineuses et oléagineux","légumes","Bambou, pousse, crue",1.13,8.65e-8,0.144,0.00541,1.44e-7,9.91e-8,9.36e-10,0.0188,0.000224,0.0121,0.0771,34.6,176,3.26,13.7,0.00000782
"fruits, légumes, légumineuses et oléagineux","légumes","Bambou, pousses, appertisées, égouttées",1.99,1.16e-7,0.369,0.00837,1.83e-7,9.77e-8,6.55e-9,0.02,0.000464,0.0122,0.0781,37.9,168,3.2,29.3,0.00000977
"fruits, légumes, légumineuses et oléagineux","légumes","Banane plantain, crue",0.76,2.29e-8,0.0508,0.00435,7.01e-8,7.22e-9,3.39e-10,0.00876,0.0000978,0.00326,0.0326,9.45,21.4,5.63,8.4,0.00000278
"fruits, légumes, légumineuses et oléagineux","légumes","Bette ou blette, crue",0.581,2.06e-8,0.191,0.00199,3.07e-8,1.15e-8,2.71e-10,0.00241,0.0000752,0.00245,0.00813,16.2,-20.9,0.316,9.21,0.00000395
"fruits, légumes, légumineuses et oléagineux","légumes","Bette ou blette, cuite",1.45,4.19e-8,0.445,0.00426,6.3e-8,1.85e-8,5.56e-10,0.00482,0.000223,0.00364,0.0144,21.5,-17.5,0.637,26.6,0.00000804
"fruits, légumes, légumineuses et oléagineux","légumes","Betterave rouge, crue",0.408,1.72e-8,0.0375,0.00151,2.33e-8,6.44e-9,2.31e-10,0.00173,0.0000441,0.000902,0.00619,5.44,4.78,0.384,4.85,0.00000209
"fruits, légumes, légumineuses et oléagineux","légumes","Betterave rouge, cuite",1.16,3.58e-8,0.189,0.00347,5.11e-8,1.16e-8,4.75e-10,0.00376,0.000168,0.00174,0.0116,8.63,11.7,0.689,18.7,0.00000511
"fruits, légumes, légumineuses et oléagineux","légumes","Brocoli, cru",0.951,2.3e-8,0.108,0.00387,4.54e-8,2.16e-8,4.09e-10,0.00486,0.000124,0.0062,0.0182,8.45,10.5,1.01,10.9,0.00000457
"fruits, légumes, légumineuses et oléagineux","légumes","Brocoli, cuit",1.66,3.94e-8,0.257,0.00571,7.07e-8,2.64e-8,6.27e-10,0.00677,0.000245,0.00711,0.0232,11,17,1.28,24.3,0.00000739
"fruits, légumes, légumineuses et oléagineux","légumes","Brocoli, purée",1.55,6.37e-8,0.216,0.00531,6.7e-8,2.53e-8,6.12e-10,0.00639,0.000228,0.00666,0.0217,10.3,15.2,1.23,22.6,0.00000735
"fruits, légumes, légumineuses et oléagineux","légumes","Brocoli, surgelé, cru",1.06,2.67e-8,0.594,0.00404,4.9e-8,2.3e-8,4.99e-10,0.00526,0.000168,0.00599,0.0182,9.61,11.2,1.01,22.9,0.00000716
"fruits, légumes, légumineuses et oléagineux","légumes","Brocoli, surgelé, cuit",1.38,3.67e-8,0.801,0.00506,6.05e-8,2.82e-8,6.36e-10,0.00645,0.000216,0.00709,0.022,11.6,13.8,1.22,31,0.00000935
"fruits, légumes, légumineuses et oléagineux","légumes","Cardon, cru",0.742,3.18e-8,0.21,0.00238,4.85e-8,3.17e-8,5.6e-10,0.00527,0.000084,0.00504,0.0212,6.33,33,0.0851,10.5,0.00000429
"fruits, légumes, légumineuses et oléagineux","légumes","Cardon, cuit",1.64,5.49e-8,0.467,0.00472,8.38e-8,4.21e-8,8.93e-10,0.00816,0.000233,0.00667,0.0296,9.99,45.5,0.367,28.2,0.00000843
"fruits, légumes, légumineuses et oléagineux","légumes","Carotte, appertisée, égouttée",1.26,5.29e-8,0.357,0.00431,6.57e-8,1.65e-8,4.82e-9,0.00435,0.000276,0.00242,0.0124,21.9,16,0.536,22.5,0.00000487
"fruits, légumes, légumineuses et oléagineux","légumes","Carotte, crue",0.396,1.94e-8,0.0621,0.00147,2.54e-8,9.98e-9,2.59e-10,0.00204,0.0000573,0.00138,0.00624,18.2,9.54,0.362,5.53,0.00000226
"fruits, légumes, légumineuses et oléagineux","légumes","Carotte, cuite",1.34,4.33e-8,0.243,0.00391,6.05e-8,1.83e-8,5.83e-10,0.00469,0.000216,0.00265,0.0132,27,19.5,0.746,21.9,0.00000596
"fruits, légumes, légumineuses et oléagineux","légumes","Carotte, purée",0.974,5.95e-8,0.236,0.00295,4.88e-8,1.51e-8,4.86e-10,0.00379,0.000159,0.00198,0.0102,22.8,15.4,0.633,18.4,0.00000563
"fruits, légumes, légumineuses et oléagineux","légumes","Carotte, surgelée, crue",0.613,2.58e-8,0.608,0.00202,3.25e-8,1.35e-8,3.91e-10,0.00277,0.000115,0.00167,0.0074,18.3,10.5,0.432,19.7,0.00000558
"fruits, légumes, légumineuses et oléagineux","légumes","Carotte, surgelée, cuite",0.86,3.56e-8,0.818,0.0027,4.13e-8,1.71e-8,5.1e-10,0.00353,0.000154,0.00204,0.00935,21.7,13,0.544,27.1,0.00000752
"fruits, légumes, légumineuses et oléagineux","légumes","Carottes râpées, avec sauce, préemballées",1.36,7.71e-8,0.585,0.00479,1.2e-7,1.67e-8,6.69e-10,0.00806,0.000187,0.00366,0.0454,19.7,30.8,1.25,28.8,0.00000739
"fruits, légumes, légumineuses et oléagineux","légumes","Céleri branche, appertisé, égoutté",1.62,5.32e-8,0.368,0.00568,8.03e-8,2.11e-8,4.88e-9,0.00616,0.0004,0.00375,0.0177,13.6,16.3,0.623,26.2,0.00000672
"fruits, légumes, légumineuses et oléagineux","légumes","Céleri branche, cru",0.715,1.86e-8,0.0721,0.00282,3.9e-8,1.43e-8,3.06e-10,0.00378,0.000182,0.00273,0.0111,7.9,9.77,0.457,9.27,0.00000423
"fruits, légumes, légumineuses et oléagineux","légumes","Céleri branche, cuit",1.47,3.64e-8,0.226,0.00488,6.76e-8,2.06e-8,5.48e-10,0.00604,0.000321,0.00382,0.0169,11.3,17,0.753,23.1,0.00000745
"fruits, légumes, légumineuses et oléagineux","légumes","Céleri-rave, cru",0.494,2.22e-8,0.0706,0.00171,2.91e-8,1.18e-8,3.05e-10,0.00235,0.0000727,0.00162,0.0072,20.9,10.9,0.413,6.31,0.00000257
"fruits, légumes, légumineuses et oléagineux","légumes","Céleri-rave, cuit",1.34,4.33e-8,0.243,0.00391,6.05e-8,1.83e-8,5.83e-10,0.00469,0.000216,0.00265,0.0132,27,19.5,0.746,21.9,0.00000596
"fruits, légumes, légumineuses et oléagineux","légumes","Céleri-rave, purée",0.964,5.91e-8,0.175,0.00292,4.81e-8,1.46e-8,4.75e-10,0.00372,0.000155,0.00197,0.0101,22.7,15.4,0.629,17,0.00000516
"fruits, légumes, légumineuses et oléagineux","légumes","Champignon, morille, crue",6.17,9.7e-8,0.363,0.00978,2.09e-7,3.88e-8,1.48e-9,0.0188,0.000521,0.0156,0.066,60.7,27.7,56.2,79.6,0.0000141
"fruits, légumes, légumineuses et oléagineux","légumes","Chicorée rouge, crue",0.571,2.37e-8,0.24,0.00201,3.4e-8,3.59e-8,6.2e-10,0.00266,0.0000808,0.00147,0.00954,6.03,6.82,0.479,11.6,0.00000443
"fruits, légumes, légumineuses et oléagineux","légumes","Chicorée verte, crue",0.571,2.37e-8,0.24,0.00201,3.4e-8,3.59e-8,6.2e-10,0.00266,0.0000808,0.00147,0.00954,6.03,6.82,0.479,11.6,0.00000443
"fruits, légumes, légumineuses et oléagineux","légumes","Chou blanc, cru",0.762,2.09e-8,0.0961,0.00269,3.81e-8,1.6e-8,3.07e-10,0.0033,0.000157,0.0024,0.01,10.3,9.3,0.5,9.41,0.00000388
"fruits, légumes, légumineuses et oléagineux","légumes","Chou chinois (pak-choi ou pé-tsai), cuit",1.6,5.39e-8,0.283,0.0046,8.16e-8,4.03e-8,8.52e-10,0.00794,0.000218,0.00661,0.0293,9.68,45.3,0.347,24.2,0.00000702
"fruits, légumes, légumineuses et oléagineux","légumes","Chou chinois ou pak-choi ou pé-tsai, cru",0.848,3.09e-8,0.0864,0.00243,4.8e-8,3.2e-8,5.62e-10,0.0052,0.0000982,0.00517,0.0213,6.77,33,0.0745,7.76,0.00000335
"fruits, légumes, légumineuses et oléagineux","légumes","Chou de Bruxelles, appertisé, égoutté",1.3,5.38e-8,0.324,0.00451,7.89e-8,3.1e-8,4.98e-9,0.00641,0.000267,0.00492,0.0228,9.62,33.4,0.255,20.8,0.00000523
"fruits, légumes, légumineuses et oléagineux","légumes","Chou de Bruxelles, cru",0.563,2.68e-8,0.0759,0.00196,4.11e-8,2.65e-8,4.57e-10,0.00448,0.0000578,0.00434,0.0183,5.16,28.9,0.0607,6.73,0.00000293
"fruits, légumes, légumineuses et oléagineux","légumes","Chou de Bruxelles, cuit",1.37,4.72e-8,0.234,0.00402,7.2e-8,3.53e-8,7.42e-10,0.00701,0.000186,0.00583,0.0258,8.39,40.2,0.307,20.9,0.0000061
"fruits, légumes, légumineuses et oléagineux","légumes","Chou de Bruxelles, surgelé, cru",0.783,3.23e-8,0.6,0.00246,4.65e-8,2.83e-8,5.66e-10,0.00494,0.000116,0.00437,0.0183,6.5,28,0.157,20.3,0.00000603
"fruits, légumes, légumineuses et oléagineux","légumes","Chou de Bruxelles, surgelé, cuit",1.06,4.32e-8,0.809,0.00321,5.76e-8,3.44e-8,7.15e-10,0.00608,0.000155,0.0052,0.022,7.96,33.5,0.222,27.9,0.00000804
"fruits, légumes, légumineuses et oléagineux","légumes","Chou frisé, cru",0.713,3.06e-8,0.0863,0.00228,4.7e-8,3.06e-8,5.31e-10,0.00512,0.0000752,0.00501,0.0209,6.15,32.9,0.0703,7.67,0.00000333
"fruits, légumes, légumineuses et oléagineux","légumes","Chou frisé, cuit",1.6,5.31e-8,0.262,0.00457,8.14e-8,4.03e-8,8.47e-10,0.00792,0.000219,0.00662,0.0292,9.7,45.2,0.346,23.5,0.00000685
"fruits, légumes, légumineuses et oléagineux","légumes","Chou romanesco ou brocoli à pomme, cru",0.721,3.09e-8,0.118,0.00231,4.74e-8,3.09e-8,5.38e-10,0.00516,0.0000775,0.00502,0.021,6.2,32.9,0.0741,8.41,0.00000358
"fruits, légumes, légumineuses et oléagineux","légumes","Chou rouge, bouilli/cuit à l'eau",1.68,4.28e-8,0.294,0.00516,7.17e-8,2.31e-8,6e-10,0.00596,0.000326,0.00371,0.017,14.9,18.3,0.799,26.4,0.00000778
"fruits, légumes, légumineuses et oléagineux","légumes","Chou rouge, cru",0.905,2.11e-8,0.0958,0.00283,3.88e-8,1.63e-8,3.24e-10,0.00344,0.000179,0.00265,0.0105,11,9.82,0.458,9.58,0.00000398
"fruits, légumes, légumineuses et oléagineux","légumes","Chou vert, cru",0.848,3.09e-8,0.0864,0.00243,4.8e-8,3.2e-8,5.62e-10,0.0052,0.0000982,0.00517,0.0213,6.77,33,0.0745,7.76,0.00000335
"fruits, légumes, légumineuses et oléagineux","légumes","Chou vert, cuit",1.6,5.39e-8,0.283,0.0046,8.16e-8,4.03e-8,8.52e-10,0.00794,0.000218,0.00661,0.0293,9.68,45.3,0.347,24.2,0.00000702
"fruits, légumes, légumineuses et oléagineux","légumes","Chou-fleur, cru",0.721,3.09e-8,0.118,0.00231,4.74e-8,3.09e-8,5.38e-10,0.00516,0.0000775,0.00502,0.021,6.2,32.9,0.0741,8.41,0.00000358
"fruits, légumes, légumineuses et oléagineux","légumes","Chou-fleur, cuit",1.43,4.76e-8,0.268,0.00409,7.27e-8,3.61e-8,7.61e-10,0.00708,0.000196,0.00589,0.026,8.66,40.3,0.312,21.7,0.00000636
"fruits, légumes, légumineuses et oléagineux","légumes","Chou-fleur, surgelé, cru",0.85,3.39e-8,0.603,0.00263,5.08e-8,3.15e-8,6.15e-10,0.00553,0.000125,0.00493,0.0207,7.57,31.5,0.162,20.7,0.00000626
"fruits, légumes, légumineuses et oléagineux","légumes","Chou-fleur, surgelé, cuit",1.14,4.5e-8,0.812,0.00341,6.26e-8,3.81e-8,7.73e-10,0.00676,0.000166,0.00585,0.0249,9.21,37.5,0.228,28.3,0.00000831
"fruits, légumes, légumineuses et oléagineux","légumes","Chou-rave, bouilli/cuit à l'eau",1.59,5.28e-8,0.233,0.00455,8.1e-8,4e-8,8.41e-10,0.00788,0.000217,0.00661,0.0292,9.66,45.2,0.343,22.8,0.00000662
"fruits, légumes, légumineuses et oléagineux","légumes","Chou-rave, cru",0.494,2.22e-8,0.0716,0.00171,2.91e-8,1.18e-8,3.05e-10,0.00235,0.0000728,0.00162,0.00721,20.9,10.9,0.413,6.33,0.00000258
"fruits, légumes, légumineuses et oléagineux","légumes","Citrouille, pulpe, crue",0.639,2.33e-8,0.0982,0.00236,3.89e-8,1.83e-8,5.56e-10,0.00348,0.0000923,0.002,0.0128,5.6,17.4,0.63,8.96,0.0000039
"fruits, légumes, légumineuses et oléagineux","légumes","Coeur de palmier, appertisé, égoutté",1.94,1.14e-7,0.358,0.00819,1.81e-7,9.73e-8,6.33e-9,0.0199,0.000453,0.0121,0.0777,37.6,168,3.19,28.5,0.00000963
"fruits, légumes, légumineuses et oléagineux","légumes","Concombre, pulpe et peau, cru",0.512,2.21e-8,0.083,0.00178,2.96e-8,1.51e-8,4.29e-10,0.00237,0.000058,0.00122,0.00886,3.75,4.53,0.333,7.85,0.00000312
"fruits, légumes, légumineuses et oléagineux","légumes","Concombre, pulpe, cru",0.512,2.21e-8,0.083,0.00178,2.96e-8,1.51e-8,4.29e-10,0.00237,0.000058,0.00122,0.00886,3.75,4.53,0.333,7.85,0.00000312
"fruits, légumes, légumineuses et oléagineux","légumes","Courge doubeurre (butternut), pulpe, crue",0.639,2.33e-8,0.0982,0.00236,3.89e-8,1.83e-8,5.56e-10,0.00348,0.0000923,0.002,0.0128,5.6,17.4,0.63,8.96,0.0000039
"fruits, légumes, légumineuses et oléagineux","légumes","Courge hokkaïdo, pulpe, crue",0.612,2.27e-8,0.0978,0.00218,3.7e-8,1.81e-8,5.44e-10,0.00328,0.0000906,0.00195,0.0122,5.42,17.2,0.629,8.57,0.00000382
"fruits, légumes, légumineuses et oléagineux","légumes","Courge melonnette, pulpe, crue",0.639,2.33e-8,0.0982,0.00236,3.89e-8,1.83e-8,5.56e-10,0.00348,0.0000923,0.002,0.0128,5.6,17.4,0.63,8.96,0.0000039
"fruits, légumes, légumineuses et oléagineux","légumes","Courge musquée, pulpe, crue",0.612,2.27e-8,0.0978,0.00218,3.7e-8,1.81e-8,5.44e-10,0.00328,0.0000906,0.00195,0.0122,5.42,17.2,0.629,8.57,0.00000382
"fruits, légumes, légumineuses et oléagineux","légumes","Courge spaghetti, pulpe, crue",0.639,2.33e-8,0.0982,0.00236,3.89e-8,1.83e-8,5.56e-10,0.00348,0.0000923,0.002,0.0128,5.6,17.4,0.63,8.96,0.0000039
"fruits, légumes, légumineuses et oléagineux","légumes","Courge spaghetti, pulpe, cuite",1.51,4.46e-8,0.276,0.00467,7.19e-8,2.59e-8,8.77e-10,0.006,0.000239,0.0031,0.0197,9.07,27.1,1,25,0.00000751
"fruits, légumes, légumineuses et oléagineux","légumes","Courge, crue",0.639,2.33e-8,0.0982,0.00236,3.89e-8,1.83e-8,5.56e-10,0.00348,0.0000923,0.002,0.0128,5.6,17.4,0.63,8.96,0.0000039
"fruits, légumes, légumineuses et oléagineux","légumes","Courgette, pulpe et peau, crue",0.498,1.99e-8,0.0812,0.00187,3.23e-8,1.55e-8,4.69e-10,0.00286,0.0000728,0.00167,0.0106,4.58,15.1,0.551,7.41,0.00000332
"fruits, légumes, légumineuses et oléagineux","légumes","Courgette, pulpe et peau, cuite",1.26,3.9e-8,0.241,0.0039,6.16e-8,2.22e-8,7.55e-10,0.00509,0.000201,0.00264,0.0168,7.62,23.9,0.886,21.7,0.00000656
"fruits, légumes, légumineuses et oléagineux","légumes","Courgette, pulpe et peau, surgelée, crue",0.702,2.61e-8,0.609,0.00238,3.86e-8,1.83e-8,5.76e-10,0.00348,0.000128,0.00193,0.0114,5.92,15.5,0.602,21,0.00000642
"fruits, légumes, légumineuses et oléagineux","légumes","Courgette, purée",1.21,6.57e-8,0.205,0.00369,6.04e-8,2.21e-8,7.62e-10,0.00496,0.000192,0.00244,0.0161,7.3,22.7,0.882,20.8,0.00000678
"fruits, légumes, légumineuses et oléagineux","légumes","Cresson alénois, cru",0.868,3.19e-8,0.319,0.0028,4.61e-8,4.89e-8,8.51e-10,0.00361,0.000126,0.00209,0.013,8.54,9.16,0.643,15.6,0.00000593
"fruits, légumes, légumineuses et oléagineux","légumes","Cresson de fontaine, cru",0.882,2.77e-8,0.255,0.00276,4.17e-8,1.64e-8,3.86e-10,0.00328,0.000119,0.00339,0.0111,22.1,-27.7,0.425,12.3,0.00000529
"fruits, légumes, légumineuses et oléagineux","légumes","Crosne, surgelé, cru",0.541,2.27e-8,0.456,0.00184,3.06e-8,1.26e-8,3.36e-10,0.00261,0.000101,0.00144,0.00697,17.6,10.4,0.422,15.6,0.00000535
"fruits, légumes, légumineuses et oléagineux","légumes","Échalote, crue",0.394,1.99e-8,0.0748,0.00147,2.5e-8,7.22e-9,3.01e-10,0.00201,0.0000628,0.00215,0.007,5.14,18,0.529,5.6,0.00000248
"fruits, légumes, légumineuses et oléagineux","légumes","Échalote, cuite",1.15,3.95e-8,0.244,0.00346,5.32e-8,1.26e-8,5.62e-10,0.00412,0.000191,0.00322,0.0126,8.31,27.3,0.86,19.9,0.00000566
"fruits, légumes, légumineuses et oléagineux","légumes","Endive, crue",0.861,1.18e-7,0.677,0.00255,3.79e-8,1.37e-8,7.69e-10,0.00293,0.000149,0.00295,0.00845,20.7,48.1,0.17,21.7,0.00000814
"fruits, légumes, légumineuses et oléagineux","légumes","Épinard, appertisé, égoutté",1.1,4.26e-8,0.297,0.00396,6.1e-8,1.4e-8,4.5e-9,0.00386,0.000244,0.00267,0.0115,16.2,-8.77,0.414,18.8,0.00000472
"fruits, légumes, légumineuses et oléagineux","légumes","Épinard, cru",0.423,1.69e-8,0.157,0.00158,2.49e-8,8.9e-9,2.1e-10,0.00195,0.0000523,0.00196,0.00655,13.1,-17.2,0.259,7.56,0.00000325
"fruits, légumes, légumineuses et oléagineux","légumes","Épinard, cuit",1.14,3.48e-8,0.376,0.00347,5.17e-8,1.47e-8,4.47e-10,0.00395,0.000173,0.00293,0.0117,17.5,-14.4,0.525,22.2,0.0000067
"fruits, légumes, légumineuses et oléagineux","légumes","Épinard, jeunes pousses pour salades, cru",0.423,1.69e-8,0.157,0.00158,2.49e-8,8.9e-9,2.1e-10,0.00195,0.0000523,0.00196,0.00655,13.1,-17.2,0.259,7.56,0.00000325
"fruits, légumes, légumineuses et oléagineux","légumes","Épinard, purée",1.08,5.93e-8,0.341,0.00326,5.05e-8,1.45e-8,4.52e-10,0.00382,0.000164,0.00274,0.0111,17.2,-15.6,0.521,21.2,0.00000688
"fruits, légumes, légumineuses et oléagineux","légumes","Épinard, surgelé, cru",0.631,2.33e-8,0.585,0.00209,3.13e-8,1.18e-8,3.27e-10,0.00254,0.000105,0.00218,0.00741,13.4,-13.7,0.327,19.1,0.00000567
"fruits, légumes, légumineuses et oléagineux","légumes","Épinard, surgelé, cuit",0.881,3.26e-8,0.791,0.00278,3.98e-8,1.51e-8,4.36e-10,0.00327,0.000142,0.00264,0.00937,16,-15.4,0.421,26.5,0.00000762
"fruits, légumes, légumineuses et oléagineux","légumes","Fenouil, bouilli/cuit à l'eau",1.95,4.57e-8,0.252,0.00787,8.7e-8,2.61e-8,7.62e-10,0.00928,0.000293,0.00714,0.0291,38.8,23.3,1.99,28.5,0.0000092
"fruits, légumes, légumineuses et oléagineux","légumes","Fenouil, cru",1.02,2.42e-8,0.078,0.00511,5.18e-8,1.85e-8,4.58e-10,0.00628,0.000139,0.00546,0.0208,31,14.1,1.48,12,0.00000535
"fruits, légumes, légumineuses et oléagineux","légumes","Fondue de poireau",2.67,5.98e-8,1.03,0.00646,1.84e-7,7.52e-8,1.45e-9,0.0232,0.000303,0.00837,0.0944,35.2,82.9,0.768,40,0.0000103
"fruits, légumes, légumineuses et oléagineux","légumes","Gombo, fruit, cuit",2.03,4.69e-8,0.28,0.0098,8.98e-8,2.66e-8,8.19e-10,0.0118,0.000305,0.0078,0.0364,39.2,23.4,2,30,0.00000944
"fruits, légumes, légumineuses et oléagineux","légumes","Haricot beurre, appertisé, égoutté",1.41,6.48e-8,0.358,0.00521,1.05e-7,1.37e-8,5.86e-9,0.00925,0.000358,0.004,0.035,20.5,97.4,1.34,23.3,0.00000497
"fruits, légumes, légumineuses et oléagineux","légumes","Haricot beurre, cru",0.544,3.15e-8,0.0877,0.00207,5.9e-8,6.24e-9,4.12e-10,0.00697,0.000116,0.00311,0.0298,15.7,97.9,1.22,6.67,0.00000224
"fruits, légumes, légumineuses et oléagineux","légumes","Haricot beurre, surgelé, cru",0.693,3.45e-8,0.586,0.00242,6.14e-8,9.26e-9,5.03e-10,0.00718,0.000161,0.0032,0.0287,16.2,90.3,1.2,19.3,0.00000514
"fruits, légumes, légumineuses et oléagineux","légumes","Haricot de Lima, cru",0.817,2.12e-8,0.0837,0.00379,2.9e-8,1.6e-7,7.69e-10,0.00323,0.000197,0.0109,0.0125,16.3,-187,0.0795,7.93,0.00000382
"fruits, légumes, légumineuses et oléagineux","légumes","Haricot mungo germé ou pousse de ""soja"", appertisé, égoutté",1.95,6.18e-8,0.315,0.00781,8.63e-8,1.89e-7,6.57e-9,0.0067,0.000495,0.0136,0.0227,25.3,-203,0.336,25.5,0.00000688
"fruits, légumes, légumineuses et oléagineux","légumes","Haricot mungo germé ou pousse de ""soja"", cru",0.817,2.12e-8,0.0837,0.00379,2.9e-8,1.6e-7,7.69e-10,0.00323,0.000197,0.0109,0.0125,16.3,-187,0.0795,7.93,0.00000382
"fruits, légumes, légumineuses et oléagineux","légumes","Haricot plat, cru",0.544,3.15e-8,0.0877,0.00207,5.9e-8,6.24e-9,4.12e-10,0.00697,0.000116,0.00311,0.0298,15.7,97.9,1.22,6.67,0.00000224
"fruits, légumes, légumineuses et oléagineux","légumes","Haricot vert importé par avion, cru",7.08,1.32e-7,0.145,0.0415,1.19e-7,7.61e-8,1.08e-9,0.0353,0.000187,0.0146,0.154,56.7,92.2,1.23,94.7,0.00000375
"fruits, légumes, légumineuses et oléagineux","légumes","Haricot vert, appertisé, égoutté",1.4,6.47e-8,0.366,0.00516,1.05e-7,1.38e-8,5.87e-9,0.00943,0.000363,0.00408,0.0358,20.9,100,1.38,23.2,0.00000515
"fruits, légumes, légumineuses et oléagineux","légumes","Haricot vert, cru",0.447,2.79e-8,0.119,0.00181,5.21e-8,5.45e-9,3.61e-10,0.00616,0.0000981,0.0027,0.0262,13.7,86.2,1.08,6.77,0.00000229
"fruits, légumes, légumineuses et oléagineux","légumes","Haricot vert, cuit",1.2,4.86e-8,0.247,0.00382,8.46e-8,1.01e-8,6.23e-10,0.00895,0.000229,0.00385,0.0351,18.3,108,1.5,20.2,0.00000506
"fruits, légumes, légumineuses et oléagineux","légumes","Haricot vert, surgelé, cru",0.768,3.69e-8,1.01,0.00257,6.39e-8,1.26e-8,5.73e-10,0.00759,0.000187,0.00327,0.0293,16.5,90.5,1.23,28.4,0.0000083
"fruits, légumes, légumineuses et oléagineux","légumes","Haricot vert, surgelé, cuit",1.04,4.84e-8,1.26,0.00333,7.75e-8,1.58e-8,7.18e-10,0.00914,0.000237,0.00391,0.0348,19.7,106,1.47,36.7,0.0000105
"fruits, légumes, légumineuses et oléagineux","légumes","Haricots verts, purée",1.14,7.48e-8,0.201,0.00359,8.33e-8,9.85e-9,6.26e-10,0.0088,0.000218,0.00365,0.0343,18,107,1.5,18.9,0.00000519
"fruits, légumes, légumineuses et oléagineux","légumes","Julienne ou brunoise de légumes, surgelée, crue",0.687,2.69e-8,0.615,0.00228,3.76e-8,1.7e-8,4.97e-10,0.00336,0.00013,0.00201,0.00989,17.1,14.2,0.567,20.6,0.00000617
