"Nom base français","Nom attribut français","Nom frontière français","Unité français","Total poste non décomposé","CO2f","CH4f","N2O","Autres GES","Localisation géographique","Date de création","Date de modification","Réglementations","Qualité","Commentaire français"
"Electricité","2013 - usage : Transports","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0063,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Transports","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0436,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV, DonnÃ©es de l'article L1431.3 du code des transports",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Transports","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0276,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV, DonnÃ©es de l'article L1431.3 du code des transports",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Transports","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.00967,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV, DonnÃ©es de l'article L1431.3 du code des transports",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2013 - usage : Transports","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.00627,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV, DonnÃ©es de l'article L1431.3 du code des transports",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2014 - mix moyen","consommation","kgCO2e/kWh",0.082,,,,,"France continentale","2015-03-17","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2014 - mix moyen","consommation","kgCO2e/kWh",0.06,,,,,"France continentale","2015-03-17","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2014 - mix moyen","consommation","kgCO2e/kWh",0.015,,,,,"France continentale","2015-03-17","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2014 - mix moyen","consommation","kgCO2e/kWh",0.007,,,,,"France continentale","2015-03-17","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2014 - mix moyen","consommation","kgCO2e/kWh",0.0721,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2014 - mix moyen","consommation","kgCO2e/kWh",0.0522,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2014 - mix moyen","consommation","kgCO2e/kWh",0.0126,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2014 - mix moyen","consommation","kgCO2e/kWh",0.0073,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2014 - usage : Autres (BTP. recherche. armée. etc.)","consommation","kgCO2e/kWh",0.052,,,,,"France continentale","2015-03-17","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2014 - usage : Autres (BTP. recherche. armée. etc.)","consommation","kgCO2e/kWh",0.034,,,,,"France continentale","2015-03-17","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2014 - usage : Autres (BTP. recherche. armée. etc.)","consommation","kgCO2e/kWh",0.011,,,,,"France continentale","2015-03-17","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2014 - usage : Autres (BTP. recherche. armée. etc.)","consommation","kgCO2e/kWh",0.007,,,,,"France continentale","2015-03-17","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2014 - usage : Autres (BTP. recherche. armée. etc.)","consommation (Méthode moyenne)","kgCO2e/kWh",0.0681,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement."
"Electricité","2014 - usage : Autres (BTP. recherche. armée. etc.)","consommation (Méthode moyenne)","kgCO2e/kWh",0.0495,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement."
"Electricité","2014 - usage : Autres (BTP. recherche. armée. etc.)","consommation (Méthode moyenne)","kgCO2e/kWh",0.0124,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement."
"Electricité","2014 - usage : Autres (BTP. recherche. armée. etc.)","consommation (Méthode moyenne)","kgCO2e/kWh",0.00622,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement."
"Electricité","2014 - usage : Autres (BTP. recherche. armée. etc.)","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0448,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2014 - usage : Autres (BTP. recherche. armée. etc.)","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0288,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2014 - usage : Autres (BTP. recherche. armée. etc.)","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0098,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2014 - usage : Autres (BTP. recherche. armée. etc.)","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0062,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2014 - usage : Autres (BTP. recherche. armée. etc.)","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0425,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2014 - usage : Autres (BTP. recherche. armée. etc.)","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0266,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2014 - usage : Autres (BTP. recherche. armée. etc.)","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.00967,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2014 - usage : Autres (BTP. recherche. armée. etc.)","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.00624,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2014 - usage : chauffage","consommation","kgCO2e/kWh",0.209,,,,,"France continentale","2015-03-17","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2014 - usage : chauffage","consommation","kgCO2e/kWh",0.173,,,,,"France continentale","2015-03-17","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2014 - usage : chauffage","consommation","kgCO2e/kWh",0.029,,,,,"France continentale","2015-03-17","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2014 - usage : chauffage","consommation","kgCO2e/kWh",0.007,,,,,"France continentale","2015-03-17","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2014 - usage : chauffage","consommation (Méthode moyenne)","kgCO2e/kWh",0.0856,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement."
"Electricité","2014 - usage : chauffage","consommation (Méthode moyenne)","kgCO2e/kWh",0.065,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement."
"Electricité","2014 - usage : chauffage","consommation (Méthode moyenne)","kgCO2e/kWh",0.0144,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement."
"Electricité","2014 - usage : chauffage","consommation (Méthode moyenne)","kgCO2e/kWh",0.00622,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement."
"Electricité","2014 - usage : chauffage","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.194,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2014 - usage : chauffage","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.162,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2014 - usage : chauffage","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0258,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2014 - usage : chauffage","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.0062,,,,,"France continentale","2018-12-21","2018-12-21","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2014 - usage : chauffage","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.196,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
"Electricité","2014 - usage : chauffage","consommation (Méthode saisonnalisée)","kgCO2e/kWh",0.163,,,,,"France continentale","2021-06-25","2021-06-25","DonnÃ©es de l'article L229-25 de la loi TECV",,"L'amont comprend ici : l'amont des combustibles, l'amortissement de la centrale et les émissions annexes de fonctionnement"
